time,aqi,pm2_5,pm10,co,no2,o3,so2,complexindex,rank,primary_pollutant,temp,humi,windlevel,winddirection,weather
2020-09-15,48.0,33,22,0.7,22,73,3,2.48839,313,,19.960,86.360,1.200,,
2020-09-16,26.0,5,15,0.3,13,51,2,1.10923,88,,21.538,34.923,2.192,,
2020-09-17,33.0,7,20,0.3,21,66,2,1.53155,10,,21.308,36.577,1.769,,
2020-09-18,37.0,9,25,0.4,29,70,3,1.92679,192,,20.077,47.692,1.462,,
2020-09-19,71.0,14,37,0.4,31,125,3,2.63482,183,O3,21.231,54.154,1.308,,
2020-09-20,48.0,11,30,0.3,26,96,2,2.10119,187,,21.962,43.385,1.731,,
2020-09-21,80.0,38,65,0.6,39,136,3,4.03929,246,O3,21.346,67.538,1.385,,
2020-09-22,39.0,24,38,0.5,31,70,3,2.61607,291,,22.346,59.192,1.654,,
2020-09-23,49.0,34,33,0.9,33,60,3,2.91786,289,,18.154,88.462,1.538,,
2020-09-24,54.0,27,24,0.7,25,104,3,2.61429,253,O3,19.154,79.692,1.077,,
2020-09-25,75.0,35,39,0.7,32,129,3,3.38839,172,O3,20.526,74.737,1.421,,
2020-09-26,101.0,55,56,0.7,36,161,2,4.48601,265,臭氧8小时,17.250,87.250,1.500,,
2020-09-27,92.0,66,65,0.8,40,150,2,4.98512,321,O3,22.278,63.444,1.833,,
2020-09-28,109.0,82,82,0.8,38,149,3,5.64554,309,PM2.5,20.385,77.692,1.500,,
2020-09-29,24.0,12,14,0.4,19,45,3,1.44911,284,,16.000,83.000,1.692,,
2020-09-30,33.0,17,28,0.4,26,54,2,2.00655,76,,16.269,71.462,1.577,,
2020-10-01,60.0,43,47,0.6,28,59,2,3.15208,160,PM2.5,16.846,77.308,1.769,,
2020-10-02,29.0,6,19,0.2,14,58,2,1.23869,27,,16.615,36.192,2.154,,
2020-10-03,45.0,20,45,0.4,26,69,5,2.47887,115,,15.654,51.000,1.962,,
2020-10-04,26.0,5,19,0.2,9,51,2,1.04137,203,,13.792,27.333,2.667,,
2020-10-05,29.0,7,21,0.3,21,57,2,1.48958,11,,14.750,38.750,1.562,,
2020-10-06,52.0,27,53,0.5,37,61,5,3.04315,195,PM10,13.769,55.885,1.346,,
2020-10-07,84.0,62,88,0.9,57,65,5,5.16815,277,细颗粒物:PM2.5,15.269,64.462,1.154,,
2020-10-08,114.0,86,94,0.9,68,44,4,6.06667,312,PM2.5,14.000,73.231,1.154,,
2020-10-09,144.0,110,108,1.0,69,88,4,7.27738,318,PM2.5,16.385,70.769,1.077,,
2020-10-10,185.0,139,104,1.0,46,136,3,7.75714,330,细颗粒物:PM2.5,17.077,72.846,1.654,,
2020-10-11,62.0,44,44,0.4,24,64,2,3.01905,326,细颗粒物:PM2.5,16.308,47.115,2.269,,
2020-10-12,34.0,11,31,0.3,27,51,2,1.85923,4,,13.280,37.440,1.760,,
2020-10-13,36.0,13,36,0.3,27,69,2,2.10030,174,,14.583,29.417,2.083,,
2020-10-14,36.0,10,36,0.5,27,40,4,1.91667,15,,10.731,37.808,1.538,,
2020-10-15,68.0,49,73,0.7,45,38,3,4.03036,245,PM2.5,11.077,70.231,1.154,,
2020-10-16,35.0,13,25,0.3,28,65,2,1.94315,326,,13.500,44.692,1.577,,
2020-10-17,55.0,16,47,0.4,44,56,3,2.72857,170,NO2,12.846,46.962,1.462,,
2020-10-18,64.0,28,65,0.7,51,60,4,3.62024,199,NO2,12.615,55.692,1.423,,
2020-10-19,72.0,50,80,0.8,57,60,3,4.62143,223,NO2,13.269,61.462,1.231,,
2020-10-20,155.0,118,121,1.0,77,36,3,7.55000,293,PM2.5,12.308,76.423,1.115,,
2020-10-21,98.0,38,146,0.4,24,61,3,4.30268,325,PM10,12.192,33.077,2.231,,
2020-10-22,53.0,11,55,0.3,21,63,2,2.12708,250,PM10,10.692,30.654,2.038,,
2020-10-23,38.0,10,32,0.3,30,64,2,2.00119,10,,11.000,33.615,1.615,,
2020-10-24,59.0,32,67,0.6,47,59,4,3.63185,116,PM10,11.231,48.885,1.385,,
2020-10-25,109.0,82,124,1.0,72,64,6,6.66429,295,PM2.5,12.615,57.000,1.192,,
2020-10-26,107.0,80,115,0.8,56,70,4,6.03274,317,PM2.5,14.885,50.615,1.538,,
2020-10-27,47.0,9,47,0.3,26,58,2,2.04940,92,,12.615,25.115,2.308,,
2020-10-28,55.0,17,50,0.4,44,46,3,2.73750,129,NO2,10.231,41.885,1.269,,
2020-10-29,73.0,35,75,0.6,58,36,3,3.94643,178,NO2,10.269,52.577,1.231,,
2020-10-30,72.0,52,80,0.7,55,58,3,4.59107,225,PM2.5,10.731,60.846,1.308,,
2020-10-31,136.0,78,222,0.6,53,49,3,7.23125,246,PM10,12.808,49.192,1.308,,
2020-11-01,58.0,14,65,0.3,21,58,2,2.32440,299,PM10,13.231,24.500,1.923,,
2020-11-02,45.0,6,45,0.2,16,58,2,1.66012,81,,9.115,25.731,2.154,,
2020-11-03,37.0,12,37,0.3,29,46,2,1.99226,54,,6.923,33.885,1.462,,
2020-11-04,77.0,39,81,0.7,61,18,4,4.15060,176,NO2,6.077,53.000,1.769,,
2020-11-05,110.0,83,121,1.1,84,24,6,6.72500,264,PM2.5,9.160,61.200,1.840,,
2020-11-06,92.0,68,133,0.9,66,62,3,6.15536,331,PM10,10.385,52.808,1.308,,
2020-11-07,91.0,26,132,0.3,24,64,2,3.73690,255,PM10,12.192,28.423,2.115,,
2020-11-08,44.0,13,44,0.3,31,47,2,2.17708,22,,9.308,27.423,1.808,,
2020-11-09,60.0,21,55,0.5,48,36,2,2.96905,156,NO2,7.885,42.500,1.269,,
2020-11-10,74.0,38,75,0.8,59,29,4,4.08006,145,NO2,8.038,52.538,1.231,,
2020-11-11,140.0,107,147,1.3,96,16,7,8.09881,241,PM2.5,7.538,65.231,1.192,,
2020-11-12,110.0,83,107,0.9,66,56,5,6.20833,329,PM2.5,11.962,45.731,1.577,,
2020-11-13,55.0,21,52,0.6,44,42,5,2.93869,24,NO2,10.077,44.808,1.500,,
2020-11-14,79.0,48,84,0.9,63,9,3,4.47768,129,NO2,8.885,74.077,1.000,,
2020-11-15,110.0,83,96,1.1,64,26,3,5.83036,199,PM2.5,8.269,76.000,0.962,,
2020-11-16,134.0,102,113,1.5,68,8,6,6.75357,295,PM2.5,10.077,66.615,1.538,,
2020-11-17,138.0,105,95,1.7,49,11,3,6.12589,253,PM2.5,9.923,88.462,1.577,,
2020-11-18,62.0,44,23,1.0,30,44,2,2.89405,322,PM2.5,9.538,88.808,2.231,,
2020-11-19,26.0,8,13,0.3,14,51,2,1.19137,14,,6.480,54.360,2.800,,
2020-11-20,29.0,10,21,0.3,23,57,2,1.62530,5,,4.546,41.182,1.909,,
2020-11-21,52.0,26,32,0.5,41,32,2,2.58333,128,NO2,2.385,75.846,1.538,,
2020-11-22,27.0,7,14,0.3,12,53,2,1.13958,45,,1.500,33.346,2.269,,
2020-11-23,34.0,14,29,0.4,27,43,3,1.90804,12,,1.577,39.038,1.692,,
2020-11-24,59.0,30,48,0.6,47,28,4,3.10952,182,NO2,1.385,57.423,1.231,,
2020-11-25,45.0,25,41,0.6,36,56,5,2.78333,219,,2.577,52.038,1.654,,
2020-11-26,57.0,19,41,0.7,45,32,4,2.69524,100,NO2,1.577,52.423,1.192,,
2020-11-27,30.0,15,28,0.4,21,60,3,1.87857,200,,2.192,37.423,2.308,,
2020-11-28,30.0,12,25,0.3,24,52,2,1.73333,20,,-0.192,37.615,1.923,,
2020-11-29,38.0,16,33,0.4,30,51,4,2.16399,151,,0.654,42.038,1.654,,
2020-11-30,38.0,17,34,0.4,30,47,4,2.18185,18,,-0.231,41.038,1.654,,
2020-12-01,53.0,25,42,0.5,42,33,3,2.74554,128,NO2,-1.000,53.115,1.346,,
2020-12-02,35.0,17,35,0.4,28,56,3,2.18571,162,,0.154,43.000,2.000,,
2020-12-03,31.0,8,20,0.3,21,61,3,1.54554,13,,0.231,29.769,1.923,,
2020-12-04,29.0,8,19,0.3,21,58,3,1.51250,3,,0.231,29.346,2.000,,
2020-12-05,55.0,24,39,0.5,44,43,6,2.83661,17,NO2,-0.654,38.231,1.500,,
2020-12-06,52.0,34,54,0.6,36,57,6,3.24911,125,PM10,1.385,37.000,2.000,,
2020-12-07,27.0,8,25,0.3,15,54,3,1.42321,79,,-2.000,25.038,2.423,,
2020-12-08,54.0,22,42,0.5,43,34,5,2.72440,33,NO2,-2.462,37.615,1.346,,
2020-12-09,79.0,46,82,0.9,63,12,6,4.46071,178,NO2,-1.308,50.577,1.269,,
2020-12-10,87.0,56,93,1.1,69,23,5,5.15565,190,NO2,-0.346,56.269,1.308,,
2020-12-11,65.0,32,56,0.6,52,37,4,3.46220,157,NO2,0.192,51.462,1.346,,
2020-12-12,97.0,72,98,1.3,59,22,4,5.46131,138,PM2.5,-1.577,76.308,1.654,,
2020-12-13,28.0,8,26,0.3,8,56,3,1.27500,79,,-3.423,24.192,3.000,,
2020-12-14,27.0,11,27,0.4,20,46,3,1.63750,7,,-4.577,23.769,1.654,,
2020-12-15,44.0,16,39,0.4,35,28,4,2.23095,65,,-4.692,29.154,1.500,,
2020-12-16,44.0,21,44,0.5,35,42,5,2.57440,74,,-2.462,27.231,1.923,,
2020-12-17,69.0,35,71,0.8,55,17,5,3.77887,185,NO2,-2.577,40.346,1.423,,
2020-12-18,29.0,9,27,0.3,19,58,3,1.60536,75,,-2.346,25.192,2.308,,
2020-12-19,64.0,26,54,0.6,51,24,6,3.18929,47,NO2,-3.654,37.385,1.423,,
2020-12-20,54.0,24,42,0.6,43,51,5,2.91280,151,NO2,-1.615,40.769,1.538,,
2020-12-21,70.0,37,56,0.7,56,32,6,3.73214,59,NO2,-2.692,51.385,1.308,,
2020-12-22,80.0,53,77,0.9,64,20,6,4.66429,161,NO2,-1.154,52.346,1.192,,
2020-12-23,89.0,37,127,0.6,28,66,5,4.21726,204,PM10,3.077,27.962,2.538,,
2020-12-24,55.0,20,60,0.4,26,57,3,2.58482,101,PM10,0.269,24.615,2.154,,
2020-12-25,70.0,34,84,0.8,56,27,6,4.04018,130,NO2,-1.500,39.423,1.231,,
2020-12-26,74.0,48,98,1.3,57,14,10,4.77560,133,PM10,-2.577,60.731,1.269,,
2020-12-27,88.0,65,102,1.4,59,22,7,5.39345,150,PM2.5,-0.846,64.192,1.269,,
2020-12-28,77.0,56,90,0.9,37,33,7,4.35863,221,PM2.5,-0.577,49.462,2.192,,
2020-12-29,52.0,8,53,0.3,6,54,3,1.59821,121,PM10,-9.654,18.346,3.615,,
2020-12-30,31.0,6,31,0.3,8,56,2,1.27262,47,,-8.846,20.885,2.500,,
2020-12-31,36.0,12,36,0.4,28,48,3,2.00714,46,,-5.577,26.000,1.538,,
2021-01-01,58.0,29,65,0.7,45,28,6,3.33214,153,PM10,-5.808,40.154,1.231,,
2021-01-02,64.0,46,72,1.1,42,30,5,3.93869,183,PM2.5,-4.808,65.077,1.346,,
2021-01-03,42.0,15,33,0.5,33,42,4,2.17917,6,—,-5.231,33.846,1.308,,
2021-01-04,36.0,14,36,0.4,22,65,3,2.02054,56,—,-4.192,29.038,2.269,,
2021-01-05,30.0,12,30,0.4,21,54,3,1.78393,7,—,-6.154,24.000,1.846,,
2021-01-06,63.0,11,76,0.2,6,59,3,2.01875,87,PM10,-12.115,18.423,3.654,,
2021-01-07,30.0,8,27,0.3,9,59,3,1.33304,17,—,-12.846,21.615,2.385,,
2021-01-08,31.0,8,29,0.2,12,62,3,1.43036,30,—,-7.769,26.115,1.962,,
2021-01-09,38.0,10,38,0.3,15,61,3,1.70982,8,—,-3.231,26.769,2.038,,
2021-01-10,33.0,8,24,0.3,15,65,3,1.47768,26,—,-1.231,25.308,2.115,,
2021-01-11,58.0,20,65,0.4,21,63,4,2.58542,43,PM10,-1.038,25.000,2.192,,
2021-01-12,60.0,0,0,0.8,48,30,5,1.67083,120,NO2,-2.654,35.962,1.231,,
2021-01-13,39.0,0,0,0.5,31,70,3,1.38750,257,—,2.808,34.231,2.000,,
2021-01-14,44.0,0,0,1.0,35,37,5,1.43958,267,—,-0.154,68.769,1.962,,
2021-01-15,35.0,0,0,0.5,16,70,3,1.01250,128,—,-0.154,34.500,2.500,,
2021-01-16,34.0,9,31,0.3,11,67,3,1.51875,3,—,-3.115,21.231,2.269,,
2021-01-17,53.0,17,56,0.4,24,52,3,2.36071,30,PM10,-2.692,24.192,1.692,,
2021-01-18,62.0,19,73,0.4,26,56,3,2.73571,81,PM10,-2.115,39.923,1.846,,
2021-01-19,46.0,26,46,0.6,24,44,3,2.47500,88,—,-6.154,70.000,1.769,,
2021-01-20,73.0,53,67,0.8,38,40,4,3.93810,95,PM2.5,-3.654,64.269,1.077,,
2021-01-21,105.0,79,97,1.2,52,34,5,5.53869,159,PM2.5,-1.480,59.600,1.320,,
2021-01-22,113.0,85,109,1.4,54,38,8,6.05655,184,PM2.5,-0.808,56.115,1.462,,
2021-01-23,115.0,87,93,1.3,51,41,4,5.73720,198,PM2.5,-3.080,66.240,1.120,,
2021-01-24,139.0,106,105,1.3,53,39,4,6.48899,175,PM2.5,-0.885,60.115,1.077,,
2021-01-25,176.0,133,106,1.5,59,17,3,7.32054,265,PM2.5,-0.654,81.038,1.115,,
2021-01-26,105.0,79,78,1.0,40,61,3,5.05268,289,PM2.5,-1.423,83.385,1.308,,
2021-01-27,55.0,27,60,0.7,32,55,5,3.03065,116,PM10,-0.440,50.560,1.840,,
2021-01-28,51.0,7,51,0.3,9,72,2,1.71190,40,PM10,-3.654,16.077,3.231,,
2021-01-29,53.0,21,55,0.6,35,42,4,2.73988,71,PM10,-5.000,28.154,1.500,,
2021-01-30,68.0,41,86,0.9,47,32,5,4.08333,115,PM10,-2.077,44.846,1.615,,
2021-01-31,89.0,66,83,1.1,34,40,4,4.51310,125,PM2.5,-3.231,77.269,1.346,,
2021-02-01,51.0,17,51,0.4,11,67,2,2.04137,283,PM10,0.120,26.840,2.960,,
2021-02-02,38.0,14,38,0.4,19,58,3,1.93036,38,—,-3.462,20.654,2.154,,
2021-02-03,49.0,17,49,0.5,23,73,3,2.39196,99,—,-1.077,28.423,2.038,,
2021-02-04,57.0,36,64,0.6,36,57,5,3.43244,4,PM10,1.840,24.480,1.840,,
2021-02-05,63.0,41,75,0.8,45,64,4,4.03452,153,PM10,3.500,33.308,1.192,,
2021-02-06,84.0,35,117,0.5,25,80,4,3.98810,155,PM10,7.692,31.500,1.731,,
2021-02-07,51.0,22,51,0.4,13,73,4,2.30506,297,PM10,1.615,34.577,1.769,,
2021-02-08,46.0,32,44,0.6,29,67,3,2.88661,5,—,0.423,39.115,1.423,,
2021-02-09,87.0,64,75,0.9,40,74,6,4.68750,235,PM2.5,1.269,48.192,1.269,,
2021-02-10,102.0,76,83,1.0,39,92,6,5.25714,283,PM2.5,3.731,46.308,1.192,,
2021-02-11,215.0,165,155,1.7,42,93,9,9.13482,281,PM2.5,3.808,58.808,1.231,,
2021-02-12,250.0,200,206,1.6,31,111,9,10.67589,320,PM2.5,6.115,63.038,1.385,,
2021-02-13,257.0,207,194,2.3,39,41,5,10.57530,320,PM2.5,5.038,86.885,1.462,,
2021-02-14,132.0,100,87,1.4,20,52,2,5.30833,334,PM2.5,3.346,79.885,1.846,,
2021-02-15,51.0,9,51,0.3,8,73,2,1.75030,22,PM10,1.520,31.360,2.320,,
2021-02-16,39.0,5,29,0.2,4,77,2,1.22173,166,—,-1.360,25.000,3.040,,
2021-02-17,36.0,9,16,0.3,8,71,2,1.23780,19,—,-3.385,21.269,2.308,,
2021-02-18,38.0,26,36,0.5,26,63,4,2.49256,26,—,-1.115,32.846,1.385,,
2021-02-19,60.0,43,66,0.8,42,67,4,3.90685,234,PM2.5,4.154,37.192,1.308,,
2021-02-20,72.0,46,93,0.8,49,60,5,4.52619,151,PM10,9.000,33.385,1.269,,
2021-02-21,42.0,0,0,0.6,33,75,4,1.51042,277,—,14.462,24.192,1.538,,
2021-02-22,59.0,30,68,0.4,14,83,3,2.84732,243,PM10,7.962,36.923,2.154,,
2021-02-23,50.0,28,50,0.5,20,58,3,2.55179,100,—,0.808,58.692,2.115,,
2021-02-24,62.0,44,54,0.7,27,54,3,3.26607,124,PM2.5,0.640,58.440,1.560,,
2021-02-25,108.0,81,79,1.0,35,80,4,5.13452,274,PM2.5,2.615,60.462,1.346,,
2021-02-26,173.0,131,109,1.3,40,104,4,7.34167,319,PM2.5,3.846,65.923,1.500,,
2021-02-27,159.0,121,99,1.1,40,105,6,6.90268,313,PM2.5,5.000,50.346,1.423,,
2021-02-28,125.0,95,70,0.9,37,59,3,5.28304,311,PM2.5,4.500,81.115,1.846,,
2021-03-01,34.0,22,17,0.4,14,67,2,1.77351,155,—,1.423,77.385,1.923,,
2021-03-02,83.0,61,54,0.7,23,39,2,3.54137,218,PM2.5,3.077,77.692,1.769,,
2021-03-03,150.0,115,102,1.1,39,35,2,6.24494,329,PM2.5,5.040,77.160,1.520,,
2021-03-04,202.0,152,132,1.4,50,38,2,8.09940,332,PM2.5,6.769,80.500,1.192,,
2021-03-05,144.0,110,101,1.1,35,48,2,6.06905,335,PM2.5,4.346,73.192,1.923,,
2021-03-06,51.0,22,52,0.6,27,53,4,2.59435,163,PM10,1.654,39.615,1.962,,
2021-03-07,78.0,57,73,0.7,39,54,2,4.19226,223,PM2.5,2.333,58.500,1.583,,晴转多云
2021-03-08,118.0,89,85,0.8,49,60,4,5.62381,266,PM2.5,4.042,59.292,1.250,,多云
2021-03-09,193.0,145,112,1.0,52,90,4,7.92202,314,PM2.5,7.292,60.958,1.333,,晴转多云
2021-03-10,242.0,192,137,1.3,58,88,4,9.83452,328,PM2.5,9.667,71.583,1.458,,霾转阴
2021-03-11,162.0,123,83,0.9,38,96,3,6.52500,329,PM2.5,12.542,64.833,1.625,,霾转阴
2021-03-12,137.0,104,70,0.9,37,50,2,5.46726,314,PM2.5,9.292,80.083,2.000,,雾
2021-03-13,135.0,103,61,1.0,30,89,2,5.40387,321,PM2.5,9.958,72.292,1.542,,霾转阴
2021-03-14,172.0,130,96,1.0,46,39,2,6.76280,312,PM2.5,11.042,72.583,1.667,,霾转多云
2021-03-15,39.0,0,0,0.4,18,77,2,1.06458,311,—,10.333,41.292,2.833,,阴
2021-03-16,37.0,0,0,0.3,22,73,3,1.13125,269,—,10.083,15.542,2.167,,浮尘转多云
2021-03-17,62.0,0,0,0.6,49,38,3,1.66250,252,NO2,9.500,40.167,1.625,,阴
2021-03-18,35.0,0,0,0.7,28,69,3,1.35625,286,—,7.708,65.375,1.542,,浮尘
2021-03-19,97.0,72,88,0.8,34,54,3,4.75179,285,PM2.5,6.583,72.042,1.708,,阴
2021-03-20,69.0,29,88,0.4,16,78,2,3.10655,208,PM10,7.917,53.167,3.417,,阴
2021-03-21,41.0,7,33,0.2,12,81,2,1.56101,36,—,7.667,23.708,3.375,,晴
2021-03-22,40.0,28,0,0.3,27,76,3,2.07500,151,—,12.542,23.708,2.708,,晴
2021-03-23,86.0,38,121,0.5,43,82,4,4.59345,285,PM10,14.542,34.042,1.875,,晴
2021-03-24,107.0,39,163,0.4,30,90,3,4.90536,199,PM10,15.208,29.417,2.417,,晴
2021-03-25,86.0,58,122,0.5,42,121,4,5.39792,101,PM10,14.292,38.458,1.792,,晴
2021-03-26,178.0,134,157,1.0,73,42,4,8.47560,303,PM2.5,13.708,74.833,1.417,,阴
2021-03-27,178.0,134,113,1.0,39,99,2,7.31994,331,PM2.5,14.500,79.083,1.917,,晴
2021-03-28,46.0,0,0,0.4,17,91,3,1.14375,319,—,14.958,35.958,3.708,,晴
2021-03-29,42.0,21,0,0.3,24,84,3,1.85000,262,—,14.750,17.125,2.208,,晴
2021-03-30,55.0,0,0,0.5,35,106,4,1.72917,255,O3,14.458,44.125,2.125,,晴
2021-03-31,52.0,0,0,0.6,41,95,3,1.81875,314,NO2,17.417,37.667,2.000,,阴
2021-04-01,63.0,0,0,0.9,43,115,8,2.15208,317,O3,15.609,36.348,1.652,,阴
2021-04-02,59.0,36,67,0.4,26,97,2,3.37530,286,PM10,14.625,53.542,1.583,,阴
2021-04-03,44.0,12,40,0.2,18,88,3,2.01429,277,—,14.083,32.667,2.333,,阴
2021-04-04,47.0,7,30,0.2,20,94,3,1.81607,136,—,13.583,24.167,2.000,,晴
2021-04-05,60.0,30,70,0.4,30,110,4,3.46131,235,PM10,13.417,37.917,2.583,,晴
2021-04-06,64.0,32,63,0.4,32,116,2,3.47262,129,O3,14.542,43.250,1.708,,晴
2021-04-07,66.0,38,82,0.5,35,111,4,4.01756,230,PM10,13.750,42.833,2.708,,晴
2021-04-08,65.0,34,76,0.4,36,118,4,3.86131,186,O3,12.917,38.917,1.708,,晴
2021-04-09,64.0,40,78,0.7,33,103,7,4.01756,275,PM10,13.833,32.750,2.500,,晴
2021-04-10,90.0,67,103,0.9,40,123,7,5.49613,250,PM2.5,14.375,36.250,1.833,,阴
2021-04-11,79.0,58,94,0.5,34,117,4,4.77292,317,PM2.5,16.375,46.333,2.333,,阴
2021-04-12,63.0,45,73,0.6,30,74,3,3.74107,248,PM2.5,13.292,55.750,2.708,,晴
2021-04-13,45.0,6,28,0.2,14,89,3,1.57768,47,—,11.750,18.250,3.333,,晴
2021-04-14,69.0,23,88,0.3,28,96,3,3.33929,241,PM10,14.708,31.958,2.625,,晴
2021-04-15,49.0,0,0,0.4,22,98,4,1.32917,312,—,15.167,37.583,3.208,,阴
2021-04-16,46.0,32,0,0.2,9,81,2,1.72887,281,—,12.708,23.208,3.000,,晴
2021-04-17,44.0,9,35,0.2,14,88,2,1.74048,89,—,13.958,18.833,2.833,,晴
2021-04-18,66.0,25,82,0.4,32,109,3,3.51696,131,PM10,15.958,32.833,2.333,,晴
2021-04-19,92.0,54,133,0.5,40,149,4,5.56577,300,PM10,19.542,43.042,1.875,,晴
2021-04-20,100.0,52,123,0.6,37,160,3,5.36786,324,O3,21.125,46.958,2.250,,晴
2021-04-21,65.0,39,77,0.5,35,117,3,3.99554,280,O3,17.750,51.042,1.792,,阴
2021-04-22,47.0,32,43,0.6,27,94,2,2.97440,240,—,13.625,68.958,2.167,,雨
2021-04-23,56.0,24,38,0.5,21,107,3,2.59732,163,O3,16.167,64.292,2.542,,晴
2021-04-24,56.0,20,42,0.4,21,107,2,2.49851,102,O3,16.708,60.917,1.667,,阴
2021-04-25,64.0,39,59,0.6,26,116,2,3.51548,252,O3,17.125,60.000,1.958,,阴
2021-04-26,80.0,42,70,0.5,30,136,4,3.99167,217,O3,16.583,44.333,2.542,,阴
2021-04-27,46.0,28,0,0.3,19,92,3,1.97500,212,—,17.417,34.500,3.000,,晴
2021-04-28,59.0,14,67,0.2,18,98,3,2.51964,152,PM10,17.458,22.042,2.458,,晴
2021-04-29,59.0,16,67,0.3,21,98,3,2.67679,176,PM10,15.417,29.208,2.625,,晴
2021-04-30,41.0,13,30,0.3,23,81,2,1.98958,46,—,11.292,48.458,2.125,,阴
2021-05-01,41.0,9,29,0.3,16,81,2,1.68601,52,—,13.750,37.500,2.750,,晴
2021-05-02,55.0,13,45,0.3,18,106,2,2.23512,47,O3,14.875,30.917,2.417,,晴
2021-05-03,86.0,36,79,0.5,24,143,4,3.84256,243,O3,17.333,47.417,2.333,,晴
2021-05-04,58.0,13,66,0.2,10,97,3,2.27054,250,PM10,18.208,25.833,3.042,,晴
2021-05-05,75.0,26,99,0.3,19,121,3,3.51339,247,PM10,20.042,24.292,3.042,,晴
2021-05-06,51.0,0,0,0.3,17,101,4,1.19792,242,O3,20.042,27.833,3.708,,晴
2021-05-07,50.0,0,0,0.3,9,100,2,0.95833,323,—,20.667,23.583,3.958,,晴
2021-05-08,47.0,0,0,0.2,17,93,3,1.10625,304,—,20.400,26.133,3.400,,晴
2021-05-09,73.0,20,56,0.4,30,127,3,3.06518,145,O3,22.667,19.667,3.111,,多云
2021-05-10,77.0,21,57,0.5,27,132,3,3.08929,178,O3,19.583,38.500,2.458,,晴
2021-05-11,95.0,23,48,0.6,24,154,3,3.10536,171,O3,17.792,58.458,1.667,,晴
2021-05-12,79.0,15,50,0.4,28,134,2,2.81369,127,O3,20.458,48.208,1.750,,晴
2021-05-13,65.0,42,72,0.9,31,117,4,4.02649,260,O3,20.042,62.167,1.917,,晴
2021-05-14,63.0,40,75,1.1,28,109,2,3.90387,298,PM10,20.083,75.167,2.125,,晴
2021-05-15,38.0,11,30,0.4,15,75,3,1.73661,285,—,18.125,63.292,2.792,,阴
2021-05-16,47.0,4,23,0.3,18,93,2,1.58244,44,—,20.083,39.583,2.500,,阴
2021-05-17,67.0,12,45,0.3,31,120,2,2.61905,260,O3,22.625,40.667,2.292,,晴
2021-05-18,82.0,20,65,0.4,35,138,2,3.37083,257,O3,24.667,37.917,2.333,,晴
2021-05-19,139.0,31,78,0.5,26,202,4,4.10417,130,O3,25.000,47.182,2.727,,阴
2021-05-20,105.0,37,74,0.5,21,165,2,3.82887,266,O3,23.583,59.125,2.417,,阴
2021-05-21,132.0,36,71,0.6,21,195,2,3.96994,304,O3,24.333,59.042,2.375,,晴
2021-05-22,143.0,32,85,0.6,22,207,3,4.17232,112,O3,26.125,55.042,2.333,,阴
2021-05-23,40.0,0,0,0.2,10,80,2,0.83333,292,—,20.917,41.917,3.083,,晴
2021-05-24,54.0,13,58,0.2,15,81,2,2.16458,260,PM10,19.417,32.500,2.125,,晴
2021-05-25,82.0,19,86,0.3,18,138,3,3.20893,148,O3,20.875,30.583,2.667,,晴
2021-05-26,55.0,15,60,0.4,23,104,3,2.66071,260,PM10,21.318,38.818,2.364,,晴
2021-05-27,43.0,11,40,0.3,23,86,2,2.10655,145,—,20.286,54.524,2.429,,晴
2021-05-28,49.0,4,19,0.2,12,97,3,1.39196,68,—,23.417,27.625,3.083,,晴
2021-05-29,75.0,8,32,0.3,14,130,2,1.95655,165,O3,22.292,39.042,2.750,,晴
2021-05-30,102.0,17,40,0.4,19,162,2,2.67798,146,O3,21.542,50.125,2.167,,阴
2021-05-31,41.0,25,41,0.8,23,82,2,2.62083,165,—,16.833,79.458,1.625,,阴
2021-06-01,70.0,15,36,0.5,20,123,3,2.38661,48,O3,20.478,60.130,2.043,,晴
2021-06-02,52.0,21,49,0.6,26,102,2,2.77083,137,O3,21.818,56.818,1.909,,晴
2021-06-03,42.0,3,23,0.2,16,84,2,1.42262,117,—,22.864,25.364,2.955,,晴
2021-06-04,46.0,6,30,0.3,20,92,2,1.78333,189,—,24.667,27.500,2.833,,晴
2021-06-05,50.0,7,25,0.2,19,99,3,1.75089,96,—,26.087,28.783,2.043,,晴
2021-06-06,97.0,12,43,0.4,22,156,3,2.63214,44,O3,26.542,33.167,1.958,,晴
2021-06-07,97.0,21,47,0.6,18,156,3,2.89643,156,O3,24.130,50.783,2.391,,阴
2021-06-08,144.0,28,56,0.7,17,208,2,3.53333,99,O3,24.130,62.304,1.739,,阴
2021-06-09,53.0,26,54,0.7,20,103,2,2.86637,266,O3,22.708,75.417,1.958,,阴
2021-06-10,89.0,9,25,0.4,16,146,2,2.06012,49,O3,25.375,54.458,2.000,,阴
2021-06-11,102.0,15,47,0.4,31,162,2,3.02083,222,O3,28.250,43.542,1.792,,晴
2021-06-12,191.0,32,81,0.6,30,256,4,4.63810,242,O3,30.042,41.917,1.875,,晴
2021-06-13,149.0,43,91,1.0,21,213,3,4.68482,323,O3,28.125,65.167,2.000,,阴
2021-06-14,49.0,22,32,0.9,13,98,3,2.29821,181,—,24.375,90.208,2.208,,阴
2021-06-15,118.0,22,37,0.7,13,179,2,2.80923,279,O3,25.625,64.792,2.042,,阴
2021-06-16,36.0,19,33,0.6,18,71,2,2.09137,244,—,21.217,80.652,1.783,,阴
